,m49_un1,2007_area_gain,2008_area_gain,2009_area_gain,2010_area_gain,2015_area_gain,2016_area_gain,2017_area_gain,2018_area_gain,2019_area_gain,2020_area_gain
0,16,293.36612579939776,477.9486907063999,484.599121979363,386.91952854759086,243.91057404508368,241.03143648537684,240.41707546409128,228.62872464403077,218.64161510212696,268.32715694862753
1,24,194.33720861632605,301.9588080367116,312.3050271473849,306.105508784539,322.83683460935254,300.0555317176117,333.97356599443947,312.0424352288079,326.5878960196351,332.1328043964015
2,28,7.199167244074802,20.763519226608395,26.332451348629554,41.33207577176954,34.877981583740805,37.38220217633713,41.462431863669096,49.21336820880011,52.8327367235012,55.75648353860123
3,36,11532.451472695506,17168.529100902815,18138.54036300737,16527.305018658437,14788.882974561982,14006.629028872512,14859.376366379594,15710.166192402849,16202.728784603556,15910.43815469714
4,44,240.3876106793602,547.2794168768776,843.6364042787553,791.9709866131161,652.5111457786938,521.1472658934637,653.9129576795772,756.5344619562944,954.6986605466207,1077.20861126627
5,48,20.972029858856807,25.09375013959663,26.365272952438858,20.363767798356275,2.190589365397926,0.9197658037664943,0.9203864698169981,1.6663167238626426,1.2717857773873122,1.6200844107704582
6,50,12466.643244599574,14646.395052170823,15394.46593798193,16407.816728932004,18907.43375163067,20423.820276096936,19809.65397425973,21565.5460922215,21654.535481235354,22833.018696133397
7,52,0.42677816678506936,0.8535500102546749,0.711294739837649,0.9483889094635466,0.4741929571065952,0.18967459511095858,0.1422549374228735,0.18967263972178472,0.426763605906169,0.9483790911558846
8,76,18336.69910111919,25854.48539122333,27292.711187667264,26505.8653620837,31561.36775875311,39247.24286346889,47524.854886606015,52955.75750111412,56669.61760095073,56988.99940411102
9,84,473.2593054197822,735.2361002800765,714.111107519404,616.3962463564847,543.1820182737063,524.0111056219032,591.903889043666,825.5243394165769,943.835835584008,918.5211691439602
10,90,734.7073816655932,1175.1354700141017,1290.4354467684584,1203.8797406677231,1055.4361697815743,960.1374549636915,941.8771303267115,1131.1291299146756,1526.574766569585,1628.0000790857173
11,92,3.0010547015519116,4.524220209099653,6.370846873123245,8.263807556932985,8.909786107262269,10.154757420818765,12.598058344387688,12.874701455252245,10.798910437184468,13.567402648029718
12,96,78.77307512141923,114.64584306188547,136.26656092357814,135.4912331641283,141.11477865318432,130.4496484958545,131.9039343599564,146.10778702257798,190.56093203816388,195.84461280205463
13,104,9220.439568459617,12559.692601212926,13698.09390150541,14165.668487230847,15115.390184751188,15925.069968999087,17281.217560822985,19379.169856415407,20020.76627808681,19972.97666822365
14,116,131.97882186625583,273.37948528890735,261.320690499951,279.6243844964424,296.99807929096426,335.3499258418626,365.9946790594855,383.2585203172305,488.2263643643914,647.7849457428321
15,120,1336.2460120547803,1816.6346339205247,1926.3859456049704,2161.6822287131754,2558.1175258988646,2486.441731449233,2373.265198268362,2412.203186261128,2678.9952035689075,2752.4035883153047
16,136,12.088453431489473,15.718073379776886,14.339531604937426,13.05201966989523,11.30516025425969,10.063965740162025,9.69660103730083,10.709246473291188,14.571245605966178,14.34191499651907
17,144,658.0540724846512,975.5928454002928,796.6545718976656,795.1486209304485,835.1450849764832,877.9231398630963,854.1708482543919,770.9787654295179,665.1061117984841,812.2884459746479
18,156,1742.6775486905058,2627.659454019533,2415.4287324924735,1712.7248707627127,1313.0100652365982,1332.6401440152085,1511.1241251792326,1781.884501968013,2168.426333811306,2218.519204959739
19,158,4.01297907235843,5.789484700752848,5.835773060326201,4.976817923247345,6.7844148934045005,7.443788218759748,6.82324787565426,3.5856076230859033,0.9294204569409971,0.9291091807825292
20,162,3548.814798790823,5299.559293978832,5518.446981431862,5286.195081753887,5014.723346758807,4886.570044628224,5350.46403469336,5824.782990328875,5922.401692816603,5675.4289965706885
21,170,3595.4272567582525,5379.421033042618,5599.099178228116,5675.265040134244,5844.735059902856,5857.551698718987,6096.769221929444,6791.654802063316,7040.8039229701535,6382.533388286954
22,174,1.093820075113933,1.9974281400853542,2.235468467492353,1.5221884664322216,0.7136803937820215,0.6185710573418269,0.9512853657646826,1.9975326032450889,1.8548860650094663,0.5709163090646089
23,175,15.46955585787984,21.87590703287213,22.208938133092005,20.263842774359986,11.533131757399612,7.547160170347769,7.974020728617052,11.01135644111298,11.676111819638459,9.113640230082673
24,178,18.340878996624497,25.037257797311568,28.191485318892255,25.86323390655346,20.81728252066749,19.361758578784656,20.866022855859256,25.33031106526323,31.83256127974676,34.40452233520727
25,180,162.10007469361813,218.27762105306027,208.40584307455435,169.6462034132786,171.67965042819668,181.89046051884299,204.19712783807765,228.05240637249904,297.0552250723736,306.87838303064905
26,184,1154.43297246793,1403.9318691892438,1488.513650984849,1554.975105035039,1617.8044088457668,1743.8583554404504,1807.3611870267928,1865.1513535372742,1932.1261929676598,1968.2046242608242
27,188,944.5058752742374,1244.4210167906213,1353.5703934650228,1389.599400068726,1436.5640314380325,1461.838937555437,1484.8454983419915,1403.4928032680727,1301.9345106755673,1331.4851996028983
28,192,3855.4904715686694,5459.47247128667,5796.809865010645,5635.22523459941,4994.420100979838,4865.696910675619,5128.2435818830145,6080.9255593584185,6956.775271671341,7134.714405979787
29,204,81.42878635059805,171.75672645139275,281.23814925891594,362.1881732692659,406.5321004585273,423.7927300287188,427.95083870872975,413.1527875564742,407.9798925851411,426.45085653240494
30,212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09380321910139763,0.14070482865209644
31,214,265.9447714598571,321.6768719913215,341.91978004525794,323.1295126915406,306.89075174004296,293.38473202369863,286.7707783239816,298.98188514310607,305.913779914192,316.67502456731677
32,218,2779.4346574177916,4339.1561880182835,4258.3161525577,4382.908848620464,5097.481462604446,5509.622121437889,5477.16443400965,5447.810226625239,6028.6117904001,6250.0598377653805
33,222,415.3198838208058,701.3144438842224,705.2397695891675,576.19872695803,334.02125745408046,249.98409252921743,386.57020649426784,400.5501483995863,329.2906055630318,370.41440363426153
34,226,80.92923773638782,140.60543096174058,190.2631964472571,188.26908374395884,174.16474694776628,144.8372898466426,140.80036218027766,115.55752226039073,118.37804677263877,138.22165675243866
35,232,67.61890909347866,100.63177774242669,110.23984223948908,120.89360782835227,134.04370623252822,145.08636885387753,157.072926385067,163.44874046619367,146.72724855433592,127.92269287009167
36,242,320.05868735923264,641.4229390888854,798.656658612198,806.4561934953899,955.8192403428195,753.1215823179739,781.7472384669792,783.5605765242649,1042.1088029812913,1106.9104252283205
37,254,4332.1958443256535,5072.919624551794,5334.336732558135,5322.812561057576,3961.7583562843033,3814.459363865682,3342.3570867991757,3040.3569853007366,2723.8037672500586,2645.1900031372757
38,258,1529.8868329989318,2014.2366358352854,2340.6221895511844,2609.01471292916,5193.057781674075,6144.787273379582,7069.733200978864,7416.841665868326,7760.490873400315,8499.4280289621
39,262,7.431968454367577,9.528534217429113,11.388783673874748,12.72355983905503,21.49708221110563,25.645352627283696,25.07274721700249,26.025021575032618,26.309705993684137,26.976986412858736
40,266,685.1588142295132,982.3604203910434,1116.7662865385314,1015.2503050644009,842.9461797887476,696.0454274268791,751.6258882767991,836.3243791281161,973.9360385717603,989.9933728127345
41,270,1347.9857370922987,1786.3353904994606,1869.1937570124612,1873.8264058400248,1748.1725484927438,1758.4121092880018,1858.386265187095,2033.8258180611783,2050.7387940475505,2029.0067563085377
42,288,983.2213357850233,1995.382130522709,2345.0534396015705,2708.062163401205,2851.3642819848283,2819.3543712098854,2701.979967238653,2612.497987922048,2689.270045492248,2874.976814830562
43,308,2.0917955256815777,4.516847675131814,4.516790787608484,4.75494347082695,3.756616931509954,3.3286156504256788,2.7103723383109823,3.4244236179987992,4.423333957992941,5.7068406499320234
44,312,24.630134438635274,32.8562599838283,40.661255079406345,38.37080328407056,29.863324055636433,28.647361371896626,28.694164784197422,29.95690080409207,36.826531809674165,43.22849239055708
45,316,0.0,0.0,0.0,0.0,0.2840804711297963,0.5681561482454291,0.37877341919725194,0.7102058116678338,1.0891044070920273,1.325912486353408
46,320,348.73039701422107,557.0371524926518,634.4595502621416,553.9319188900686,493.0749091287571,512.8373943799556,542.274055824934,597.1272906482561,727.8930898665886,837.7286739518016
47,324,2636.7454998944495,3557.9591401391012,4070.0975434875686,3734.300358650597,3553.4120157470593,3290.579526057682,3656.9665095031373,3945.1796593008285,4367.607072934803,4674.172792768442
48,328,909.5147816006167,1102.8289325729309,1161.2234068878145,1248.7315782359979,1450.078084356021,1732.6880830429175,1807.6346855459878,1828.7270347386889,1837.4395228164453,2019.8587963723044
49,332,186.30168420636258,222.17876678542228,232.0781564689421,232.651908071136,236.08660319919295,241.31694620485277,246.76678387642264,288.35415533827745,320.7879373422181,325.6614997924637
50,340,2485.1975477315414,3548.1659662582238,3792.5846521107605,3428.1895007840303,1880.2151234079408,1404.453623976522,1587.9581846983754,1743.8221437474538,1727.2558612206178,1756.3362630100037
51,344,0.540464080100785,1.0358723857673242,1.3061027639331768,1.351142220011897,0.7206079885738325,0.36030893925997515,0.2702354653339135,0.3152768986016453,0.3152768986016453,0.18015775365060271
52,356,13883.985647341786,16982.677901197578,18084.67881306941,18521.02840997986,20730.186983832893,23170.509562485095,23642.88681750698,24553.862752541514,24806.703798567294,24043.322657330318
53,360,23852.25748755964,34096.90341023002,36632.33264353637,38046.33157896648,42290.26809563699,45519.98632043715,48688.384474964434,53224.570144973055,55987.15491552018,55861.07510313787
54,364,174.9493900473841,254.54891785174797,274.087364416763,281.7483179020251,359.4627250445051,339.0309063808708,345.42501535845804,459.9796850662392,603.0234951104469,581.894470574641
55,384,124.93981454358655,208.9772167707101,227.2016774472939,215.18490163008642,167.49705960491744,147.09256071692084,145.78318020658904,157.70801374194525,169.5823522680908,178.4530064804496
56,388,366.1028903967473,430.89217399917726,409.91740194510555,305.1132376194547,128.77828284674425,76.49608310287218,60.77761303743824,66.75085860273566,81.52880207132469,95.06126530155032
57,392,11.56554248970294,19.94710953002009,22.79275894489248,22.18896008014014,19.518645224936595,17.05415292136334,14.027483084508543,14.961435102225602,21.64986640248132,26.28597514668425
58,404,611.7506826603084,982.7001594532425,1103.5191842992754,1107.5071321091218,1016.227438240343,942.0747380907268,984.4166633090404,1204.05835619659,1465.0114484954624,1590.4398604063479
59,430,339.19698818701784,470.4645240176608,501.1858577766624,515.0102720957844,501.82486565468207,495.13759359186355,507.5133452641405,504.0538822787359,489.9465556874145,469.6931000952676
60,450,3143.946781670962,4032.620427081065,4265.255509170021,4420.0050222200025,5007.523938923354,5398.873159248897,5830.445390280074,6354.710762410268,6795.542172472329,7077.479786782958
61,458,4580.495909377922,6417.22093807191,6925.298011206101,7105.374917853321,7577.587778587823,7807.501483704423,8261.332533141293,9105.459364021273,10048.048421209054,10182.300943871724
62,474,12.348719657740002,26.769528471471645,31.2000861831505,29.12584668667925,27.146868414220013,19.84156383362133,21.302093138833385,25.02452990728517,38.925095630759344,45.99385001414088
63,478,17.905105454949844,23.09851642593063,23.288802229506118,22.87323894299657,32.79164249817484,31.431481299210105,29.936010417375083,27.971046051905414,35.69197021298817,51.5834756097979
64,480,7.451868773630576,9.051913533085088,9.006399482961355,9.234838801385397,10.879570044567798,10.650435710638948,10.148897443799523,10.698035594755776,13.348658245466044,14.902664799307525
65,484,11284.500477895803,17367.147890249827,17215.08827544455,16151.16956207097,14497.156445934883,14561.495670985238,15817.19607131807,18346.872586969024,19757.661029926094,20794.37808480495
66,508,3745.1920548248263,5535.797407081129,5635.003618100156,5735.345077369148,6088.312086533637,6458.533681073314,6877.833163254598,7797.305029827432,8077.785916204749,7415.312049151573
67,512,6.806783749383587,11.101610857293768,13.996477504972104,15.483351518368124,13.28699954784498,11.77926528589391,8.238457289248773,6.148485034330347,7.288027833767893,9.63761396542953
68,531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,533,0.0,0.0,0.0,0.04752522570872512,0.04752522570872512,0.04752522570872512,0.04752522570872512,0.04752522570872512,0.04752522570872512,0.04752522570872512
70,535,0.23795769067266495,0.33314154649305183,0.38073264470868257,0.38073264470868257,0.4283240130952636,0.4283228935313838,0.5710942191255577,0.47591229321458245,0.4283218515120423,0.4283218515120423
71,540,284.2517762519017,523.9973757724954,564.4636869052966,534.8844056224111,472.68665124286946,442.53560714302586,446.1637420391457,567.292479795265,823.1575735451919,1034.7176760759035
72,548,9.202015310520418,17.97972991531712,29.516386397090585,28.11436788476933,31.433512144527825,22.937022322593293,30.97392007185987,25.38794304646337,29.30202333398649,29.90437266632206
73,554,514.6005542992641,605.5137510259589,630.1845186356582,648.4289006956553,668.1280436557939,638.7976445139676,642.9040114760858,643.9253615205926,652.4406246163896,629.050892989216
74,558,2241.1723594699106,3144.1215356701323,3440.2418475172094,3138.1535064511036,1928.4654717925996,1520.0907777763396,1748.945055856777,1942.8213037780588,2025.7216881551583,1911.5699849114367
75,566,6109.92171568224,8452.00731694456,8616.061006834776,7726.386136492121,7491.814160716013,6628.568595552398,7221.130144051339,6593.236516223244,7428.208228750883,8157.355425602145
76,583,12.136384257559065,13.096275698179776,11.843379862779447,3.7952639541269404,0.8675569077858121,0.8675569077858121,0.8675569077858121,0.8675569077858121,14.965706851969593,15.641703251013654
77,585,53.15566534441669,84.51660864217158,92.05663048487324,85.6874575372406,72.66042449789572,67.2079287905852,91.61891283951579,103.63216781477662,86.41488245743568,77.6364703234978
78,586,1650.3347151334399,2249.6812909935143,2173.1698965600362,2041.0608499480259,2175.312211979148,2914.4143812359343,3493.474763934972,3834.749836920645,3389.1029605365493,2370.125434186258
79,591,2095.2622890747707,2773.7669190247357,2967.499917077452,2998.9587619172935,2946.6605560415974,2948.9190689131556,2968.9047078892113,2909.9235835050963,2686.2020416572855,2500.4269899538467
80,598,4786.441736559164,6275.002111287902,6571.483662078395,6588.363627232764,7197.425002842987,7494.229656248431,7863.755250164794,8341.93091696667,8755.130170671076,8834.93955419586
81,604,194.99277003504517,311.17754340830334,351.1802818156608,366.53441174193506,413.88310219798956,503.99646414498864,575.0175425261202,638.657159223671,648.9093268410287,609.1207461032989
82,608,5530.744130022526,8190.123441194431,8564.707077704994,8626.698588051775,8899.568609719747,9353.794355181068,9710.938444055111,11025.71417604269,12255.784865366066,12683.161861370367
83,624,5364.082589613201,6543.827633044715,6457.119566925887,6633.995135121889,6744.743610929558,6533.663800416942,6593.843687662194,6927.1392368716915,7066.41280411351,6701.224254888991
84,626,39.26213111019361,48.113168491259145,47.72891463061288,47.490079145944584,54.035135575681956,52.15820443737998,56.8736127187085,57.59312413842639,58.07314755893567,54.6095966479956
85,630,378.93246466146354,515.2165168379502,430.3183139021752,378.9812381705617,318.81889684671194,303.6251985738693,299.9499137930598,278.82770050469026,217.34825525127417,209.9961704354685
86,634,7.071882927480601,13.794650062094593,10.02229962292298,9.14571282971684,7.775047350738625,13.672867469642545,17.075816627506207,32.52926203926262,36.969240363032014,36.80064480326724
87,654,116.85698724561018,206.8721887732512,223.47593657906327,184.4536597115628,168.0904873478081,228.46676085823086,238.3746183631366,226.84337053436428,241.21620966199112,331.1950042482844
88,659,1.6273390731074757,3.487107698221013,3.2081829025056936,3.2546601820037897,2.2783004355891934,1.5808840624794307,1.2553818148626728,1.1623879432428077,1.9994753911568361,2.371500301950009
89,660,0.0925569699038436,0.0925569699038436,0.2313919071464267,0.5553404390787908,0.7867332664038353,0.647898041599058,0.4627846769465709,0.3239493946394882,0.18511434238407795,0.18511445740306723
90,662,0.8038397458836768,1.0875468479884485,0.8984276004137183,0.8511427119859672,0.8984047490898458,0.7092064818355901,0.330934723874736,0.6618971275081129,1.0874536869822955,1.134714632749133
91,663,0.0,0.0,0.13890928317232057,0.13890928317232057,0.13890928317232057,0.13890928317232057,0.09260618878154701,0.04630309439077351,0.0,0.0
92,670,0.3798732674632034,0.6171499657152201,1.1394111469695196,1.092028692167783,1.0445790524303928,0.6645272964775916,0.5695133448791034,0.8070031309492101,1.2817795323648258,1.851082460868771
93,682,1999.2636414188707,2585.4082057936776,2327.8341495148943,1300.659437294153,354.5856097017198,277.45256326590754,301.04813076683257,286.8880631034581,310.69523279595967,337.9532955483953
94,686,3615.1696463970793,4379.299286930864,4458.75178065599,4287.464194911752,4081.658069278086,3948.041493162194,4041.4200921406878,4189.79214235337,4149.173732663816,4102.677841609833
95,690,0.969728550376687,0.969728550376687,1.1151776247794618,0.8727672052788937,0.8243080400695928,0.43640726804694285,0.5818650044434261,0.581837724946829,0.9697372422840425,0.9212528911198619
96,694,1311.2515957819105,1830.1226651562909,2086.056497173334,1941.5624177441584,1931.5229366054975,1874.0025643496115,2069.9371215621013,2021.7334554744687,1757.1107444039608,1543.5337989662078
97,702,3.7933074683173866,7.1002756008194625,9.43461396716237,10.11550156977401,7.829843173636355,4.911883547731975,6.176347646171008,12.936270280370492,17.896770545928053,21.446864427177978
98,704,3519.556010677174,5056.768702035637,5505.640268621018,5544.15993752778,6685.043550662115,6978.255612839804,7549.0093224118855,6980.211807520202,6767.703337860032,8918.78537944187
99,706,47.507963454413215,69.86336243565562,77.44194861816905,80.83652119531291,79.5735466470224,82.64363443337983,84.98731210988751,88.48906362685031,91.01330308809685,94.19937240909641
100,710,186.67223005357755,221.44179907499338,226.03229202310118,239.9418980069741,276.312066744704,278.5999704557905,286.6609391155524,296.28875381268756,298.63287844974434,288.11489737757563
101,729,7.026254205101122,10.19922231260206,10.247689562600481,10.757073104315928,10.94516585316164,11.316055887925268,11.547982539543401,11.551414456453932,11.511340958051353,11.189878582629671
102,740,4921.210857009804,7040.105384727546,7634.884045330033,8993.598854046755,11244.972550166243,12033.537010082033,11831.44900668865,11870.770080129976,12178.997274206366,12335.596980287755
103,764,1783.2662733135599,2769.439358883861,2871.6239166536075,3007.8720567681657,3169.8845691317592,3307.8726543314083,3652.091549205405,4119.53913505263,4927.6149543270785,5474.99873723227
104,768,1.7894852428612835,2.079676635712162,2.2247597931031757,2.7083874765826437,2.466553694167838,2.708391846250297,2.6600255652187004,2.4665704111583153,3.2887724654969936,4.59463419611793
105,776,13.542222207812575,32.031795292950356,40.244045355089284,39.451276805119136,47.44981228470091,52.683872013979375,48.57496773799659,42.859967322657766,32.99215803691123,19.926141743233497
106,780,114.36675159974388,152.31831471029506,157.3472824042297,172.56926686068934,193.5807585304616,196.69512834111347,198.75710313587433,231.00956497054128,256.70144175922246,250.00317933966903
107,784,673.08648825631,1326.9846846458142,1188.8444408562457,753.1286341338587,337.82485025146616,266.241749144732,389.66609090237057,479.2124483380424,488.70692920173144,481.83754915090503
108,796,12.32115719171085,20.884480568847252,20.973403996145862,13.904966471597668,9.960647380203712,10.275510320278624,10.501602329844136,10.458013601272546,12.586790912794243,17.614359351669442
109,818,0.915222222805166,1.4326736071016168,1.3890040542936237,1.3029897997524231,1.3473268184570901,1.0892863906914727,1.2641552741290663,1.3057996793545632,1.306499091420201,1.0893780725805917
110,834,1176.7591378788507,1812.0230685997087,1890.4712153154699,1809.924706689432,1696.7373454795777,1595.2667470257923,1603.541565203011,1927.458964931895,2209.3613409887525,2293.9337714243034
111,840,4190.369031521808,6295.9106654263305,6889.136406744686,6142.683592822542,4725.65053804078,4040.18222513736,3605.397109428577,3149.1967867019857,3639.500592630334,4598.83168660657
112,850,5.60640357861792,9.684169802361065,11.213411709859837,13.580173118560989,19.51984740608257,16.69351540211021,17.80818296419165,15.578997654465525,18.131706915152105,19.709305820032583
113,862,4573.948825082791,5969.359308561743,6288.031036924086,6424.20211828549,7402.401200493176,7869.54403608778,8458.503537064522,9060.419721040445,9559.87949372518,9760.78787701734
114,882,4.536588450887912,7.5137599107876,9.025789127011162,8.033763978433434,7.939379319094258,6.805259415132511,6.143848678843716,3.970546576841741,5.627825570913806,6.7622606629105295
115,887,87.35696162069465,118.55385744565031,123.0687522626256,124.79383539913995,115.50777007293613,104.96892379578298,104.1249130819505,94.53812444145589,103.76850867258493,101.22458531671725
116,999,22.340388668204287,33.487814135438484,33.97578556503822,39.63548986544987,36.47522133030694,20.472041987788764,14.127210269093581,10.699819750125215,7.760364067899341,9.037086867899463
